"Timestamp","Questionnaire number","Community","   Interviewer","Date","Age","Gender","Level of Education","Occupation","Current employer","Household size","Number of years stayed in the community","Which of the following COVID-19 sanitation protocols are you familiar with?","Compliance with COVID-19 sanitation protocols has improved your sanitary habits.","COVID-19 encouraged compliance to/ brought about the enforcement of sanitation measures in your locality.","Have you or anyone in your family had diarrhoea since the COVID-19 pandemic?","Did you see any health campaigns or initiatives in your community that promoted good sanitation practices during the COVID-19 pandemic? ","Compliance with COVID-19 sanitation protocols has helped reduce the occurrence of diarrhoea-related diseases.","Have you or any member of your family experienced episodes of diarrhoea in the past six months?","How frequently have you or your family members experienced diarrhoea in the past six months?","Are you aware of any specific causes or triggers for diarrhoea? ","Have you sought medical assistance or treatment for diarrhoea episodes? ","If Yes, please specify the type of healthcare professional you consulted","Have you or any family members been hospitalized due to severe diarrhoea? ","Do you know anyone in your community or neighbourhood who has had diarrhoea-related diseases in the past year?","Have you or any family member received vaccinations or preventive measures against diarrhoea-related diseases?","What has been an extreme case experienced or known to have happened to anyone from diarrhoea-related disease?","Are you aware of any ongoing efforts or programs in your community to prevent or manage diarrhoea-related diseases?","If yes, please mention any","How knowledgeable do you consider yourself about the causes, prevention, and treatment of diarrhea-related diseases? 
"2023/07/20 4:19:54 PM GMT","2","Anloga","Mabel ","07-20","41 - 50","Female","No formal education","Trader","Unemployed","6 -10","11-20","Hand washing","Agree","Agree","No","No","Yes","No","None","Contaminated food and water","No","","No","No","No","Not sure","No","","3","Agree","Agree","Agree","Yes","Hand washing ","No","Yes","Bin","Agree","3","Yes","Yes","Hand washing "
"2023/07/20 5:48:13 PM GMT","3","Anloga","Mabel ","07-20","31 - 40","Female","No formal education","Trading ","Self-employed","1 -  5","1-10","Hand washing","Agree","Agree","No","No","Not sure","No","None","Contaminated food and water","No","","No","No","No","Not sure","No","","2","Disagree","Disagree","Agree","Yes","Hand washing ","No","Yes","Bin","Neutral","2","Yes","Yes","Hand washing "
"2023/07/20 5:56:37 PM GMT","4","Anloga","Mabel ","07-20","Above 0","Male","JHS/Middle","","","16-20","Above 40","Hand washing","Agree","Neutral","No","No","Yes","No","None","Not sure","No","","No","No","No","Not sure","No","","2","Agree","Neutral","Agree","Yes","Hand Sanitizer ","No","Yes","Bin","Agree","2","Yes","Yes","Hand Sanitizer "
"2023/07/20 6:02:31 PM GMT","5","Anloga","Mabel ","07-20","41 - 50","Male","Tertiary","Teaching ","Government","16-20","1-10","Use of hand sanitisers","Strongly Agreee","Strongly Agree","No","No","Yes","No","None","Contaminated food and water","No","","No","No","No","Not sure","No","","1","Strongly agree","Agree","Strongly agree","Yes","Use of hand sanitizer ","No","Yes","Bin","Strongly agree","2","Yes","Yes","Use if hand sanitizer "
"2023/07/20 8:35:24 PM GMT","6","Anloga","Mabel ","07-20","51 - 60","Female","No formal education","Food vendor ","Self-employed","1 -  5","Above 40","Hand washing","Agree","Agree","No","No","Yes","No","None","Contaminated food and water","No","","No","No","No","Not sure","No","","2","Agree","Agree","Agree","Yes","Hand washing ","No","Yes","Bin","Agree","2","Yes","Yes",""
"2023/07/21 6:54:06 AM GMT","7","Anloga","Mabel ","07-20","10 - 20","Male","JHS/Middle","","Unemployed","11-15","11-20","Hand washing","Agree","Agree","No","No","Yes","No","None","Contaminated food and water","No","","No","No","No","Not sure","No","","2","Agree","Agree","Agree","Yes","Hand washing ","No","Yes","Bin","Neutral","2","Yes","Yes","Hand washing "
"2023/07/21 7:00:05 AM GMT","7","Anloga","Mabel ","07-20","10 - 20","Male","JHS/Middle","","Unemployed","11-15","11-20","Hand washing","Strongly Agreee","Agree","No","No","Yes","No","None","Contaminated food and water","No","","No","No","No","Not sure","No","","2","Agree","Agree","Agree","Yes","Hand washing ","No","Yes","Bin","Agree","2","Yes","Yes",""
"2023/07/21 7:15:09 AM GMT","1","Ayigya","Chris","07-18","31 - 40","Male","Tertiary","Researcher","Government","1 -  5","21-30","Hand washing;Use of hand sanitisers;Disinfection of surfaces","Strongly Agreee","Strongly Agree","Yes","Yes","Yes","Yes","Occasionally","Contaminated food and water","Yes","Pharmacist","Yes","Yes","No","Not sure","No","","2","Strongly agree","Strongly agree","Strongly agree","Yes","Washing hands frequently under running water","Yes","Yes","Bin","Strongly agree","1","Yes","Yes","Incentives for separation of wastes before collection by sanitation workers should be introduced"
"2023/07/21 7:36:23 AM GMT","8","Anloga","Mabel ","07-20","21  - 30","Male","JHS/Middle","","Unemployed","16-20","1-10","Use of hand sanitisers","Agree","Agree","No","No","Yes","No","None","Contaminated food and water","No","","No","No","No","Not sure","No","","2","Agree","Agree","Agree","Yes","","No","Yes","Bin","Agree","2","Yes","Yes","Use of hand sanitizer "
"2023/07/21 9:52:23 AM GMT","9","Anloga","Mabel ","07-20","Above 0","Male","JHS/Middle","Herbalist ","Self-employed","6 -10","Above 40","Hand washing","Agree","Agree","No","No","Yes","No","None","Contaminated food and water","No","","No","No","No","Not sure","No","","2","Agree","Agree","Agree","Yes","","No","Yes","Bin","Agree","2","Yes","Yes","Hand washing "
"2023/07/21 10:02:33 AM GMT","10","Anloga","Mabel ","07-20","51 - 60","Female","JHS/Middle","Business woman ","Self-employed","16-20","Above 40","Hand washing","Agree","Agree","No","No","Yes","Yes","Occasionally","Contaminated food and water","No","Self-care","No","No","No","Not sure","No","","2","Agree","Agree","Agree","Yes","Hand wasi","No","Yes","Bin","Agree","2","Yes","Yes","Hand washing "
"2023/07/21 10:12:15 AM GMT","1","Ayigya","Manuella ","07-21","31 - 40","Male","No formal education","Driver","Self-employed","6 -10","21-30","Hand washing;Use of hand sanitisers;Disinfection of surfaces","Agree","Agree","Yes","Yes","Yes","Yes","Occasionally","Contaminated food and water","Yes","Self-care","No","Yes","Yes","Not sure","Yes","Weekly Community cleaning ","1","Agree","Agree","Agree","Yes","Washing of hands ","Yes","Yes","Bin","Agree","1","Yes","Yes","Hygienic practices is needed "
"2023/07/21 10:18:35 AM GMT","2","Ayigya","Chris","07-21","31 - 40","Male","SHS","Bussiness","Self-employed","1 -  5","11-20","Hand washing;Use of hand sanitisers;Disinfection of surfaces","Neutral","Strongly Agree","Yes","Yes","Yes","Yes","Occasionally","Contaminated food and water","No","Self-care","No","Yes","No","Not sure","Yes","Health screening and check ups by Oforikrom Municipal and Churches","2","Strongly agree","Strongly agree","Strongly agree","Yes","","Yes","Yes","Bin","Strongly agree","2","Yes","Yes","Strict adherence to sanitation bye-laws, recycling and waste separation "
"2023/07/21 10:26:43 AM GMT","2","Ayigya","Manuella ","07-21","21  - 30","Male","Tertiary","Student","Self-employed","1 -  5","1-10","Hand washing;Use of hand sanitisers","Agree","Agree","No","Yes","Yes","No","None","Contaminated food and water","Yes","Pharmacist","No","Yes","Yes","Not sure","Yes","Clean up exercise by churches","1","Agree","Agree","Agree","Yes","Washing of hands ","Yes","Yes","Bin","Agree","1","Yes","Yes","Providing bins to help with waste disposal and putting measures to reduce diarrheal related diseases "
"2023/07/21 10:31:03 AM GMT","11","Anloga","Mabel ","07-20","31 - 40","Female","No formal education","","Self-employed","6 -10","1-10","Use of hand sanitisers","Agree","Agree","No","Yes","Yes","No","None","Contaminated food and water","No","","No","No","No","Not sure","No","","2","Agree","Agree","Agree","Yes","Use of hand sanitizer ","No","Yes","Bin","Agree","2","Yes","Yes","Use of hand sanitizer "
"2023/07/21 10:39:37 AM GMT","3","Ayigya","Manuella","07-21","51 - 60","Male","No formal education","Pioneer ","Self-employed","11-15","Above 40","Hand washing;Use of hand sanitisers","Agree","Agree","Yes","Yes","Yes","Yes","Weekly","Contaminated food and water","Yes","Pharmacist","No","No","Yes","","Yes","Announcements by community in cars ","1","Agree","Strongly agree","Strongly agree","Yes","","Yes","Yes","Bin","Agree","1","Yes","Yes","Washing of hands is essential "
"2023/07/21 10:45:07 AM GMT","3","Ayigya","Chris","07-21","Above 0","Male","JHS/Middle","Driver","Self-employed","1 -  5","Above 40","Hand washing;Use of hand sanitisers","Strongly Agreee","Strongly Agree","No","Yes","Yes","Yes","None","Contaminated food and water","No","","No","No","No","Not sure","No","","1","Agree","Strongly agree","Strongly agree","Yes","Hand washing with soap and water","Yes","Yes","Bin","Strongly agree","1","Yes","Yes","Sustained education and enforcement of sanitation bye-laws"
"2023/07/21 10:52:18 AM GMT","4","Ayigya","Manuella","07-21","10 - 20","Male","SHS","Student","","1 -  5","1-10","Hand washing;Use of hand sanitisers","Agree","Agree","No","Yes","Yes","No","Daily","Contaminated food and water;Contact with infected individuals","No","","No","Yes","No","Not sure","No","","1","Agree","Agree","Agree","Yes","Wearing of nose masks and using sanitizer ","No","No","Bin","Agree","1","Yes","Yes","Washing of hands "
"2023/07/21 10:59:00 AM GMT","4","Ayigya","Chris","07-21","Above 0","Female","JHS/Middle","Trader","Self-employed","1 -  5","31-40","Hand washing;Use of hand sanitisers","Strongly Agreee","Strongly Agree","No","Yes","Yes","No","None","Contaminated food and water","No","Self-care","No","No","No","Not sure","No","","1","Neutral","Strongly agree","Strongly agree","Yes","Frequent washing of hands with soap under running water","Yes","Yes","Bin","Strongly agree","1","Yes","Yes","Education and communal labour to clean gutters and surroundings"
"2023/07/21 11:10:06 AM GMT","5","Ayigya","Manuella","07-21","21  - 30","Male","Primary","Tailor","Self-employed","1 -  5","1-10","Hand washing;Use of hand sanitisers","Agree","Agree","Yes","Yes","Yes","Yes","Monthly","Contaminated food and water;Contact with infected individuals","Yes","Doctor","Yes","No","Yes","Not sure","No","","1","Agree","Agree","Agree","Yes","Use of sanitizer","Yes","Yes","Bin","Agree","1","Yes","Yes","We should stop wearing the nose mask but we should continue washing our hands "
"2023/07/21 11:13:13 AM GMT","5","Ayigya","Chris","07-21","21  - 30","Male","Vocational/Technical","Trader","Self-employed","1 -  5","21-30","Hand washing;Use of hand sanitisers;Disinfection of surfaces","Strongly Agreee","Strongly Agree","No","Yes","Yes","No","None","Contaminated food and water","No","","No","No","No","Not sure","Yes","Health campaigns by Health workers","1","Agree","Strongly agree","Strongly agree","Yes","Washing hands frequently with soap under running water","Yes","Yes","Bin","Strongly agree","2","Yes","Yes","Proper waste disposal"
"2023/07/21 11:24:28 AM GMT","6","Ayigya","Manuella","07-21","51 - 60","Male","Primary","Construction officer","Government","1 -  5","1-10","Hand washing;Use of hand sanitisers","Agree","Agree","No","Yes","Yes","No","None","Contaminated food and water","No","","No","No","No","Not sure","Yes","Removing of dirty gutter waste","2","Agree","Agree","Agree","Yes","Hand washing","Yes","Yes","Bin","Agree","1","Yes","Yes","Eating healthy and continuous washing of hands "
"2023/07/21 11:28:33 AM GMT","6","Ayigya","Chris","07-21","21  - 30","Male","SHS","Trader","Self-employed","1 -  5","11-20","Hand washing;Use of hand sanitisers;Disinfection of surfaces","Strongly Agreee","Strongly Agree","No","Yes","Yes","Yes","None","Contaminated food and water","No","","No","No","No","Not sure","No","","1","Strongly agree","Strongly agree","Strongly agree","Yes","Hand washing","Yes","Yes","Bin","Strongly agree","1","Yes","Yes","Communal labour to clean surroundings regularly"
"2023/07/21 11:30:52 AM GMT","2","Anloga","Michael Ohene-Asante ","07-21","31 - 40","Male","Tertiary","Entrepreneur ","Self-employed","1 -  5","1-10","Hand washing;Use of hand sanitisers;Disinfection of surfaces","Strongly Agreee","Agree","Yes","Yes","Yes","No","None","Not sure","Yes","Pharmacist","No","No","No","Not sure","No","","1","Agree","Strongly agree","Strongly agree","Yes","1, hand sanitizer,  2. Hand washing ","Yes","Yes","Bin","Strongly agree","2","Yes","Yes","Proper final waste disposal by waste collectors "
"2023/07/21 11:34:16 AM GMT","1","Anloga","Micheal","07-21","31 - 40","Male","Tertiary","Consultant ","Private Organization/Institution","1 -  5","1-10","Hand washing;Use of hand sanitisers;Disinfection of surfaces","Agree","Agree","Yes","Yes","Not sure","Yes","Occasionally","Not sure","Yes","Doctor","No","No","No","Not sure","No","","2","Neutral","Agree","Agree","No","","Yes","No","Bin","Neutral","3","Yes","Yes","Eliminate waste dumps within settlements. "
"2023/07/21 11:39:22 AM GMT","7","Ayigya","Manuella","07-21","21  - 30","Male","Tertiary","Teaching Assistant","Government","1 -  5","1-10","Hand washing;Use of hand sanitisers;Disinfection of surfaces","Agree","Agree","No","Yes","Yes","No","","Contaminated food and water;Contact with infected individuals","Yes","Doctor","No","No","No","Chronic complications","Yes","Clean up exercises ","1","Agree","Agree","Agree","Yes","Use of sanitizers and washing of hands","Yes","Yes","Bin","Strongly agree","1","Yes","Yes","More campaigns and education on the implications on not ensuring sanitation practices 
"
"2023/07/21 11:41:38 AM GMT","25","Anloga","Michael ","07-20","41 - 50","Male","Tertiary","Marketer","Government","6 -10","1-10","Hand washing","Agree","Agree","No","Yes","Yes","No","Occasionally","Contaminated food and water","Yes","Doctor","No","No","Yes","Not sure","No","","1","Neutral","Agree","Agree","Yes","Regular washing of hands ","Yes","Yes","Bin","Strongly agree","2","Yes","Yes","Almost all the protocols must observed all the time and not only periods of pandemic."
"2023/07/21 11:42:06 AM GMT","7","Ayigya","Chris","07-21","21  - 30","Female","Tertiary","Student Mid-wife","Unemployed","1 -  5","21-30","Hand washing;Use of hand sanitisers","Strongly Agreee","Agree","Yes","Yes","Yes","Yes","Occasionally","Contaminated food and water","Yes","Doctor","Yes","No","No","Not sure","No","","1","Agree","Strongly agree","Agree","Yes","Use of alcohol based hand sanitizers","Yes","Yes","Bin","Strongly agree","2","Yes","Yes","Improve waste disposal and clean chocked gutters"
"2023/07/21 11:53:35 AM GMT","8","Ayigya","Chris","07-21","10 - 20","Female","SHS","Trader","Self-employed","1 -  5","11-20","Hand washing;Use of hand sanitisers;Disinfection of surfaces","Strongly Agreee","Strongly Agree","No","Yes","Yes","No","None","Contaminated food and water","No","Self-care","No","No","No","Not sure","Yes","Health campaigns by Health workers","2","Agree","Strongly agree","Strongly agree","Yes","Hand washing","No","Yes","Bin","Strongly agree","2","Yes","Yes","Strict compliance to sanitation protocols"
"2023/07/21 11:57:40 AM GMT","8","Ayigya","Manuella","07-21","31 - 40","Female","No formal education","Seller of gari and beans","Self-employed","6 -10","11-20","Hand washing;Use of hand sanitisers","Agree","Agree","No","No","Yes","No","None","Contaminated food and water","Yes","Pharmacist","No","No","No","Not sure","No","","2","Agree","Agree","Agree","Yes","Wearing of nose masks ","Yes","Yes","Bin","Agree","1","Yes","Yes","Eating healthy "
"2023/07/21 11:59:34 AM GMT","12","Anloga","Mabel ","07-20","21  - 30","Female","No formal education","","Self-employed","16-20","11-20","Hand washing","Agree","Agree","No","No","Yes","No","None","Contaminated food and water","No","","No","No","No","Not sure","No","","2","Agree","Agree","Agree","Yes","Use of hand sanitizer ","No","Yes","Bin","Agree","2","Yes","Yes","Use of hand sanitizer "
"2023/07/21 12:12:28 PM GMT","12","Anloga","Mabel","07-20","31 - 40","Female","JHS/Middle","","Self-employed","16-20","11-20","Use of hand sanitisers","Agree","Agree","No","No","Yes","No","None","Contaminated food and water","No","","No","No","No","Not sure","No","","2","Agree","Agree","Agree","Yes","Use of hand sanitizer ","No","Yes","Bin","Agree","2","Yes","No","Use of hand sanitizer "
"2023/07/21 12:23:41 PM GMT","13","Anloga","Mabel ","07-20","31 - 40","Female","JHS/Middle","","Self-employed","1 -  5","11-20","Use of hand sanitisers","Agree","Agree","No","No","Yes","Yes","None","Contaminated food and water","No","Self-care","No","Yes","No","Not sure","No","","2","Agree","Agree","Agree","No","","No","Yes","Bin","Neutral","3","No","No","Use of hand sanitizer "
"2023/07/21 12:37:39 PM GMT","14","Anloga","Mabel ","07-20","Above 0","Male","JHS/Middle","","Unemployed","16-20","Above 40","Hand washing","Agree","Agree","No","No","Yes","No","None","Contaminated food and water","No","","No","No","No","Not sure","No","","2","Agree","Agree","Agree","Yes","Hand washing ","No","Yes","Bin","Neutral","2","No","Yes","Hand washing "
"2023/07/21 3:04:53 PM GMT","15","Anloga","Mabel ","07-20","41 - 50","Female","JHS/Middle","Food vendor ","Self-employed","6 -10","11-20","Hand washing","Agree","Agree","No","No","Yes","No","","Contaminated food and water","No","","No","No","No","Not sure","No","","2","","Agree","Agree","Yes","Hand washing ","No","Yes","Bin","Agree","2","No","Yes","Hand washing "
"2023/07/21 4:11:10 PM GMT","1","Anloga","Osei Acheampong ","07-21","31 - 40","Female","No formal education","Trader","Unemployed","1 -  5","1-10","None","Disagree","Agree","No","Yes","Yes","Yes","Weekly","Contaminated food and water","Yes","Nurse","Yes","Yes","Yes","Not sure","No","","3","Agree","Agree","Agree","Yes","Hand washing ","Yes","No","Bin","Agree","1","Yes","Yes","Clean up exercise "
"2023/07/21 4:23:00 PM GMT","2","Anloga","Osei Acheampong ","07-21","21  - 30","Female","No formal education","Trader","Self-employed","1 -  5","1-10","Hand washing;Use of hand sanitisers","Agree","Agree","Yes","Yes","Yes","No","None","Contaminated food and water;Travel to high-risk areas","Yes","Nurse","Yes","Yes","Yes","Not sure","Yes","Public education","2","Agree","Agree","Agree","Yes","Washing hands, using sanitizer ","Yes","Yes","Bin","Agree","2","No","Yes","Organized Communal labour "
"2023/07/21 4:30:40 PM GMT","3","Anloga","Osei Acheampong ","07-21","41 - 50","Female","No formal education","Trader","Self-employed","6 -10","1-10","Hand washing;Use of hand sanitisers","Agree","Agree","Yes","Yes","Yes","No","None","Not sure","No","Self-care","No","No","No","Not sure","No","","4","Agree","Agree","Agree","Yes","Hand washing ","Yes","Yes","Bin","Agree","1","Yes","No","Clean up exercise "
"2023/07/21 4:39:16 PM GMT","4","Anloga","Osei Acheampong ","07-21","51 - 60","Male","SHS","Teacher ","Government","6 -10","1-10","Hand washing;Use of hand sanitisers;Disinfection of surfaces","Agree","Agree","Yes","Yes","Yes","No","None","Not sure","No","Self-care","No","Yes","Yes","Not sure","Yes","Clean up exercises ","2","Agree","Agree","Agree","Yes","Hand washing ","Yes","Yes","Bin","Agree","2","Yes","Yes","Clean up exercise "
"2023/07/21 4:44:45 PM GMT","5","Anloga","","07-21","10 - 20","Female","SHS","Trader","Self-employed","1 -  5","1-10","Hand washing;Use of hand sanitisers","Agree","Agree","Yes","Yes","Yes","Yes","Occasionally","Contaminated food and water;Travel to high-risk areas","Yes","Nurse","Yes","Yes","Yes","Not sure","No","","2","Agree","Agree","Agree","Yes","Hand washing ","Yes","Yes","Bin","Agree","2","Yes","Yes","Personal hygiene "
"2023/07/21 4:53:06 PM GMT","6","Anloga","Osei Acheampong ","07-21","31 - 40","Female","JHS/Middle","Trader","Self-employed","1 -  5","1-10","Hand washing;Use of hand sanitisers","Agree","Agree","No","Yes","Not sure","No","None","Contaminated food and water;Travel to high-risk areas","Yes","Self-care","No","Yes","Yes","Not sure","Yes","Hand washing ","2","Strongly agree","Strongly agree","Agree","Yes","Hand washing ","Yes","Yes","Bin","Agree","2","Yes","Yes","Public washing "
"2023/07/21 5:00:51 PM GMT","6","Anloga","Osei Acheampong ","07-21","31 - 40","Female","JHS/Middle","Trader","Self-employed","6 -10","1-10","Hand washing;Use of hand sanitisers","Agree","Agree","No","Yes","Yes","No","None","Contaminated food and water;Travel to high-risk areas","Yes","Nurse","Yes","Yes","No","Not sure","Yes","Hand washing, sanitisation ","2","Strongly agree","Strongly agree","Strongly agree","Yes","Social distances, hand washing ","Yes","Yes","Bin","Agree","2","No","Yes","Personal hygiene "
"2023/07/21 5:13:11 PM GMT","7","Anloga","Osei Acheampong ","07-21","21  - 30","Male","Vocational/Technical","Driver","Self-employed","1 -  5","1-10","Hand washing;Use of hand sanitisers;Disinfection of surfaces","Strongly Agreee","Strongly Agree","Yes","Yes","Yes","No","None","Contaminated food and water","Yes","Doctor","No","No","No","Not sure","Yes","Clean up exercise ","2","Agree","Strongly agree","Strongly agree","Yes","Hand washing ","Yes","Yes","Bin","Agree","2","No","Yes","Personal hygiene "
"2023/07/21 5:18:47 PM GMT","8","Anloga","Osei Acheampong ","07-21","31 - 40","Male","No formal education","Driver","Unemployed","1 -  5","1-10","Hand washing;Use of hand sanitisers;Disinfection of surfaces","Strongly Agreee","Strongly Agree","No","Yes","Yes","No","Occasionally","Contaminated food and water","Yes","Doctor","Yes","Yes","Yes","Not sure","Yes","Vaccination ","2","Agree","Agree","Agree","Yes","Hand washing ","Yes","Yes","Bin","Agree","2","No","Yes","Public education "
"2023/07/21 5:29:00 PM GMT","9","Anloga","Osei Acheampong ","07-21","31 - 40","Female","SHS","Trader","Self-employed","1 -  5","1-10","Hand washing;Use of hand sanitisers","Agree","Strongly Agree","Yes","Yes","Yes","Yes","Occasionally","Contaminated food and water","Yes","Nurse","Yes","Yes","Yes","Chronic complications","Yes","Vaccination ","2","Agree","Agree","Strongly agree","Yes","Social distances ","Yes","Yes","Bin","Strongly agree","2","No","Yes","Cleaning the environment and Vaccination "
"2023/07/21 5:33:23 PM GMT","10","Anloga","Osei","07-21","21  - 30","Female","JHS/Middle","Trader","Self-employed","1 -  5","1-10","Hand washing;Use of hand sanitisers","Agree","Agree","Maybe","Yes","Yes","No","None","Contaminated food and water","Yes","Nurse","No","No","No","Not sure","Yes","Personal hygiene ","2","Agree","Strongly agree","Agree","Yes","Hand washing ","Yes","Yes","Bin","Strongly agree","2","Yes","Yes","Personal hygiene "
"2023/07/21 5:44:04 PM GMT","10","Anloga","Osei Acheampong ","07-21","21  - 30","Female","JHS/Middle","Mobile banking","Private Organization/Institution","1 -  5","1-10","Hand washing;Use of hand sanitisers;Disinfection of surfaces","Agree","Agree","Yes","Yes","Yes","No","None","Contaminated food and water;Travel to high-risk areas","Yes","Nurse","No","Yes","Yes","Not sure","Yes","Personal hygiene ","2","Agree","Agree","Strongly agree","Yes","Hand washing ","Yes","Yes","Bin","Strongly agree","2","Yes","Yes","Personal hygiene "
"2023/07/21 5:48:32 PM GMT","11","Anloga","Osei Acheampong ","07-21","21  - 30","Female","JHS/Middle","Mobile money agent","Self-employed","1 -  5","1-10","Hand washing;Use of hand sanitisers;Disinfection of surfaces","Strongly Agreee","Strongly Agree","Yes","Yes","Yes","Yes","Occasionally","Contaminated food and water;Contact with infected individuals","Yes","Doctor","Yes","Yes","Yes","Not sure","Yes","Personal hygiene ","1","Agree","Strongly agree","Strongly agree","Yes","Hand sanitizer ","Yes","Yes","Bin","Strongly agree","2","Yes","Yes","Improved personal hygiene "
"2023/07/21 5:59:41 PM GMT","12","Anloga","Osei Acheampong ","07-21","31 - 40","Female","JHS/Middle","Student","Unemployed","1 -  5","1-10","Hand washing;Use of hand sanitisers","Strongly Agreee","Strongly Agree","Yes","Yes","Yes","Yes","Occasionally","Contaminated food and water;Contact with infected individuals","Yes","Nurse","Yes","Yes","Yes","Not sure","Yes","Personal hygiene ","2","Agree","Agree","Strongly agree","Yes","Hand washing ","Yes","Yes","Bin","Strongly agree","2","Yes","Yes","Personal hygiene "
"2023/07/21 6:07:27 PM GMT","13","Anloga","Osei Acheampong ","07-21","21  - 30","Female","No formal education","Carpenter ","Self-employed","1 -  5","1-10","Hand washing;Use of hand sanitisers","Agree","Agree","Yes","Yes","Not sure","Yes","Occasionally","Contaminated food and water","Yes","Nurse","Yes","Yes","Yes","Not sure","Yes","Personal hygiene ","2","Agree","Agree","Agree","Yes","Hand washing ","Yes","Yes","Bin","Strongly agree","2","Yes","Yes","Personal hygiene "
"2023/07/21 6:14:52 PM GMT","14","Anloga","Osei Acheampong ","07-21","31 - 40","Female","JHS/Middle","Trader","Self-employed","1 -  5","11-20","Hand washing;Use of hand sanitisers;Disinfection of surfaces","Agree","Strongly Agree","Yes","Yes","Not sure","Yes","Weekly","Contaminated food and water;Contact with infected individuals","Yes","Nurse","No","Yes","Yes","Not sure","Yes","Personal hygiene ","2","Agree","Agree","Agree","Yes","Hand washing ","Yes","Yes","Bin","Agree","2","Yes","Yes","Personal hygiene "
"2023/07/21 6:27:11 PM GMT","14","Anloga","","07-21","31 - 40","Male","Vocational/Technical","TV Repairer ","Self-employed","6 -10","1-10","Hand washing;Use of hand sanitisers","Agree","Agree","Yes","Yes","Yes","Yes","Monthly","Contaminated food and water;Contact with infected individuals","Yes","Nurse","Yes","Yes","Yes","Chronic complications","Yes","Clean up exercise ","1","Agree","Strongly agree","Strongly agree","Yes","Using hand sanitiser ","Yes","Yes","Bin","Strongly agree","2","Yes","Yes","Personal hygiene "
"2023/07/21 6:31:50 PM GMT","15","Anloga","Osei Acheampong ","07-21","51 - 60","Male","No formal education","","Unemployed","6 -10","11-20","Hand washing;Use of hand sanitisers;Disinfection of surfaces","Strongly Agreee","Strongly Agree","Yes","Yes","Yes","Yes","Weekly","Contaminated food and water;Travel to high-risk areas;Contact with infected individuals","Yes","Nurse","Yes","Yes","Yes","Chronic complications","Yes","Clean up exercise ","1","Strongly agree","Strongly agree","Strongly agree","Yes","Hand washing ","Yes","Yes","Bin","Strongly agree","2","Yes","Yes","Improving personal hygiene "
